"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","22-Jun-2020","         38.00","         38.55","         38.60","         35.95","         38.05","         38.20","         37.57","   28617224","          1075089036.40","      43259","    7432760","         25.97"
"ADANIPOWER","EQ","23-Jun-2020","         38.20","         38.00","         38.40","         37.20","         37.80","         37.90","         37.82","   11481054","           434256904.30","      21055","    2442168","         40.26"
"ADANIPOWER","EQ","24-Jun-2020","         37.90","         38.30","         39.10","         37.00","         37.30","         37.75","         38.52","   20525135","           790697596.35","      37321","    5911773","         28.80"
"ADANIPOWER","EQ","25-Jun-2020","         37.75","         37.85","         38.25","         36.50","         37.20","         36.75","         37.28","   15974452","           595535629.25","      23885","    8328106","         52.13"
"ADANIPOWER","EQ","26-Jun-2020","         36.75","         37.80","         37.90","         36.40","         36.80","         36.75","         37.20","    5533269","           205847912.50","      11491","    2260946","         40.86"
"ADANIPOWER","EQ","29-Jun-2020","         36.75","         36.95","         37.25","         35.95","         36.30","         36.25","         36.47","    4370886","           159423207.65","      11501","    1880474","         43.02"
"ADANIPOWER","EQ","30-Jun-2020","         36.25","         36.75","         36.75","         35.80","         35.85","         36.00","         36.21","    2777667","           100579480.30","       7007","    1176676","         42.36"
"ADANIPOWER","EQ","01-Jul-2020","         36.00","         35.80","         36.10","         35.75","         35.90","         35.90","         35.89","    2451686","            87984172.25","       6963","    1172256","         47.81"
"ADANIPOWER","EQ","02-Jul-2020","         35.90","         36.10","         36.25","         35.65","         35.80","         35.80","         35.96","    2674918","            96180464.00","       8811","    1181084","         44.15"
"ADANIPOWER","EQ","03-Jul-2020","         35.80","         35.90","         36.10","         35.80","         35.80","         35.90","         35.91","    2643230","            94923555.55","       6603","    1085665","         41.07"
"ADANIPOWER","EQ","06-Jul-2020","         35.90","         35.90","         36.50","         35.80","         35.95","         35.90","         36.10","    4527779","           163460556.35","      10960","    1629458","         35.99"
"ADANIPOWER","EQ","07-Jul-2020","         35.90","         35.95","         36.25","         35.70","         35.85","         35.95","         35.97","    3771401","           135662251.30","       9724","    1738232","         46.09"
"ADANIPOWER","EQ","08-Jul-2020","         35.95","         36.00","         36.10","         35.60","         35.70","         35.70","         35.85","    2637156","            94531724.65","       8814","    1290287","         48.93"
"ADANIPOWER","EQ","09-Jul-2020","         35.70","         35.95","         35.95","         35.50","         35.60","         35.55","         35.65","    2214256","            78937482.50","       5774","     976909","         44.12"
"ADANIPOWER","EQ","10-Jul-2020","         35.55","         35.15","         35.40","         34.70","         34.70","         34.80","         35.07","    4439842","           155699577.20","      12496","    2190717","         49.34"
"ADANIPOWER","EQ","13-Jul-2020","         34.80","         34.90","         34.95","         34.40","         34.80","         34.70","         34.60","    3333128","           115319441.00","       8876","    1950960","         58.53"
"ADANIPOWER","EQ","14-Jul-2020","         34.70","         34.70","         36.15","         34.35","         35.60","         35.70","         35.35","    6152177","           217483597.70","      13140","    2443240","         39.71"
"ADANIPOWER","EQ","15-Jul-2020","         35.70","         35.85","         35.85","         34.55","         34.65","         34.70","         35.13","    2903309","           102004846.80","       8908","    1350995","         46.53"
