"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAPOWER","EQ","15-Jun-2020","         41.70","         41.70","         43.00","         41.55","         42.50","         42.40","         42.43","   32174680","          1365148572.80","      54447","    5760808","         17.90"
"TATAPOWER","EQ","16-Jun-2020","         42.40","         43.45","         43.45","         40.20","         41.05","         41.05","         41.77","   33915142","          1416609177.15","      47753","    7304567","         21.54"
"TATAPOWER","EQ","17-Jun-2020","         41.05","         40.90","         42.20","         40.15","         41.10","         41.25","         41.23","   30297033","          1249274044.10","      42094","    7457989","         24.62"
"TATAPOWER","EQ","18-Jun-2020","         41.25","         41.10","         43.35","         41.10","         43.05","         42.95","         42.52","   29310786","          1246385073.25","      46660","    7019997","         23.95"
"TATAPOWER","EQ","19-Jun-2020","         42.95","         43.45","         43.95","         42.80","         43.05","         43.20","         43.47","   28219725","          1226580589.05","      48374","    8056299","         28.55"
"TATAPOWER","EQ","22-Jun-2020","         43.20","         43.70","         43.90","         43.00","         43.70","         43.65","         43.56","   21166732","           921944413.70","      26429","    5497429","         25.97"
"TATAPOWER","EQ","23-Jun-2020","         43.65","         43.70","         44.95","         42.90","         43.95","         44.45","         44.06","   36866233","          1624222251.25","      57816","    7143298","         32.42"
"TATAPOWER","EQ","24-Jun-2020","         44.45","         44.40","         44.65","         42.70","         43.00","         43.25","         43.88","   40592891","          1781164602.00","      49179","    9338635","         23.01"
"TATAPOWER","EQ","25-Jun-2020","         43.25","         43.15","         44.60","         43.10","         44.15","         44.00","         43.99","   35940234","          1580957059.45","      46796","    7016687","         19.52"
"TATAPOWER","EQ","26-Jun-2020","         44.00","         44.45","         47.40","         44.30","         46.45","         46.35","         46.23","   46056290","          2129147078.95","      75257","   10843138","         23.54"
"TATAPOWER","EQ","29-Jun-2020","         46.35","         46.45","         47.25","         44.45","         44.70","         44.85","         45.86","   29330081","          1345041240.80","      51679","    7072339","         24.11"
"TATAPOWER","EQ","30-Jun-2020","         44.85","         45.70","         45.85","         44.10","         44.95","         44.85","         44.98","   26717577","          1201829654.15","      38176","    4571540","         17.11"
"TATAPOWER","EQ","01-Jul-2020","         44.85","         45.00","         46.70","         44.05","         46.50","         46.10","         45.23","   28894350","          1306818814.40","      44371","    6910805","         23.92"
"TATAPOWER","EQ","02-Jul-2020","         46.10","         46.65","         50.70","         45.75","         49.60","         49.80","         48.51","  112208004","          5443448709.40","     162811","   22382103","         19.95"
"TATAPOWER","EQ","03-Jul-2020","         49.80","         50.45","         51.20","         49.35","         49.75","         49.90","         50.34","   62702080","          3156703432.10","     106373","   11343194","         18.09"
"TATAPOWER","EQ","06-Jul-2020","         49.90","         50.65","         50.90","         49.90","         50.10","         50.35","         50.38","   33196343","          1672534426.65","      56644","    8014859","         24.14"
